sigla_uf,codigo_cbo_4,total_vinculos_ativos
AL,412110,1057
AL,410220,396
AL,317205,242
AL,231305,692
AL,715505,1418
AL,631415,3
AL,313220,715
AL,911305,1336
AL,841448,81
AL,841505,160
AL,862305,493
AL,818110,239
AL,301105,253
AL,919205,233
AL,861110,15
AL,251215,89
AL,123115,151
AL,722205,35
AL,415105,91
AL,114105,22
AL,131305,126
AL,324220,14
AL,261125,184
AL,231110,439
AL,810205,74
AL,252715,106
AL,253125,33
AL,517220,566
AL,142205,804
AL,314105,72
AL,415205,556
AL,950305,71
AL,225275,32
AL,724435,59
AL,351740,5
AL,253215,453
AL,724220,512
AL,313130,190
AL,516405,50
AL,141405,107
AL,992205,178
AL,141710,147
AL,716305,263
AL,410205,282
AL,725025,21
AL,342205,80
AL,352405,233
AL,10105,148
AL,261110,474
AL,232145,133
AL,223445,116
AL,841464,241
AL,20310,235
AL,322120,78
AL,222215,8
AL,862105,20
AL,724415,67
AL,848525,62
AL,332205,150
AL,919105,113
AL,712205,58
AL,951310,32
AL,723230,18
AL,715120,46
AL,353230,58
AL,711110,26
AL,311705,3
AL,632330,9
AL,225140,108
AL,823325,79
AL,766120,52
AL,251520,113
AL,252515,23
AL,811630,50
AL,223276,26
AL,766150,23
AL,232150,91
AL,773330,8
AL,862405,57
AL,766405,26
AL,954205,22
AL,141515,87
AL,763205,9
AL,262815,24
AL,242205,19
AL,262710,19
AL,341310,8
AL,214605,1
AL,913125,4
AL,225180,5
AL,318015,10
AL,223288,81
AL,910130,17
AL,239205,44
AL,992110,48
AL,913110,21
